,MMSI,BaseDateTime,LAT,LON,SOG,COG
556736,316001251,2019-01-01T02:02:44,49.42204,-123.41918,16.1,266.7
564553,316001251,2019-01-01T02:03:50,49.42182,-123.42686,16.1,267.8
568672,316001251,2019-01-01T02:05:08,49.42177,-123.43583,16.6,271.0
577567,316001251,2019-01-01T02:06:22,49.42254,-123.44468,17.6,296.1
585943,316001251,2019-01-01T02:08:50,49.43231,-123.4552,14.2,329.4
592217,316001251,2019-01-01T02:07:24,49.42612,-123.45001,17.9,331.3
594735,316001251,2019-01-01T02:10:02,49.43587,-123.45836,12.8,326.4
598988,316001251,2019-01-01T02:11:14,49.43771,-123.46369,11.9,270.8
610419,316001251,2019-01-01T02:14:06,49.43436,-123.47159,3.1,206.7
624264,316001251,2019-01-01T02:12:26,49.43652,-123.46868,8.4,234.6
627258,316001251,2019-01-01T02:17:06,49.43399,-123.47189,0.0,249.6
631592,316001251,2019-01-01T02:15:15,49.43402,-123.47186,0.6,209.4
640913,316001251,2019-01-01T02:18:16,49.43399,-123.47189,0.0,58.8
650751,316001251,2019-01-01T02:20:16,49.43398,-123.47189,0.0,84.4
652286,316001251,2019-01-01T02:22:36,49.43398,-123.47189,0.0,119.4
663023,316001251,2019-01-01T02:25:36,49.43398,-123.47189,0.0,196.7
674893,316001251,2019-01-01T02:26:46,49.43398,-123.47189,0.0,210.7
681407,316001251,2019-01-01T02:29:46,49.43398,-123.47189,0.0,33.3
699216,316001251,2019-01-01T02:31:06,49.43398,-123.47189,0.0,70.0
704172,316001251,2019-01-01T02:32:25,49.43398,-123.47189,0.0,269.8
709706,316001251,2019-01-01T02:33:37,49.43398,-123.47189,0.0,331.1
714952,316001251,2019-01-01T02:37:35,49.43398,-123.47189,0.0,357.6
720463,316001251,2019-01-01T02:39:35,49.43468,-123.47124,1.6,57.4
728347,316001251,2019-01-01T02:41:33,49.43693,-123.4651,13.3,95.0
731683,316001251,2019-01-01T02:42:54,49.43371,-123.45817,17.2,148.1
747588,316001251,2019-01-01T02:44:18,49.42759,-123.45249,18.4,139.3
753595,316001251,2019-01-01T02:46:02,49.4235,-123.44152,16.5,99.9
754156,316001251,2019-01-01T02:47:26,49.42324,-123.43175,15.9,90.4
769883,316001251,2019-01-01T02:51:44,49.42269,-123.40385,15.2,91.3
777350,316001251,2019-01-01T02:54:14,49.42227,-123.38748,15.4,92.3
789187,316001251,2019-01-01T02:57:14,49.42172,-123.36783,15.3,92.2
789719,316001251,2019-01-01T02:58:32,49.42248,-123.35964,15.1,77.2
806534,316001251,2019-01-01T02:59:44,49.42345,-123.35184,15.4,80.8
814819,316001251,2019-01-01T03:00:08,49.42374,-123.34936,15.3,78.8
827883,316001251,2019-01-01T03:02:56,49.42603,-123.33122,15.3,79.2
831499,316001251,2019-01-01T03:04:20,49.42696,-123.32219,15.2,79.5
832704,316001251,2019-01-01T03:01:14,49.4247,-123.3423,15.5,80.1
848687,316001251,2019-01-01T03:07:14,49.42689,-123.30357,15.8,114.8
855580,316001251,2019-01-01T03:08:25,49.42446,-123.29662,15.3,119.6
858816,316001251,2019-01-01T03:06:12,49.42801,-123.31026,15.3,92.6
863284,316001251,2019-01-01T03:09:30,49.42134,-123.2917,15.3,145.7
869564,316001251,2019-01-01T03:10:43,49.41699,-123.2871,15.5,145.0
888196,316001251,2019-01-01T03:15:16,49.39922,-123.2733,19.0,166.8
895541,316001251,2019-01-01T03:16:44,49.39172,-123.27151,15.5,176.0
901583,316001251,2019-01-01T03:17:50,49.38778,-123.27104,12.9,175.2
905726,316001251,2019-01-01T03:18:56,49.38357,-123.27053,14.2,175.3
909054,316001251,2019-01-01T03:12:37,49.41024,-123.28004,15.3,143.9
913645,316001251,2019-01-01T03:13:43,49.40608,-123.27704,15.1,162.3
917650,316001251,2019-01-01T03:20:14,49.37969,-123.27019,7.3,180.2
923681,316001251,2019-01-01T03:21:32,49.37763,-123.27051,3.5,191.7
931494,316001251,2019-01-01T03:22:56,49.37658,-123.27084,1.4,200.8
936040,316001251,2019-01-01T03:24:19,49.37645,-123.2709,0.0,320.0
941405,316001251,2019-01-01T03:25:20,49.37647,-123.27089,0.0,68.2
950631,316001251,2019-01-01T03:27:20,49.37647,-123.27089,0.0,218.7
957383,316001251,2019-01-01T03:28:41,49.37646,-123.27089,0.0,283.2
963981,316001251,2019-01-01T03:30:30,49.37647,-123.27089,0.0,72.5
979879,316001251,2019-01-01T03:31:41,49.37647,-123.27089,0.0,358.8
983477,316001251,2019-01-01T03:33:29,49.37647,-123.27089,0.0,239.1
989644,316001251,2019-01-01T03:35:01,49.37647,-123.27089,0.0,250.1
996882,316001251,2019-01-01T03:36:21,49.37647,-123.27089,0.0,312.4
1001842,316001251,2019-01-01T03:37:50,49.37647,-123.27089,0.0,307.7
1008364,316001251,2019-01-01T03:39:20,49.37647,-123.27089,0.0,247.7
1019538,316001251,2019-01-01T03:41:20,49.37647,-123.27089,0.0,249.0
1025471,316001251,2019-01-01T03:42:39,49.37647,-123.27089,0.0,317.5
1036420,316001251,2019-01-01T03:44:10,49.37647,-123.27089,0.0,37.9
1062338,316001251,2019-01-01T03:50:13,49.37723,-123.27081,0.0,160.8
1066668,316001251,2019-01-01T03:51:30,49.37723,-123.27081,0.0,127.1
1072343,316001251,2019-01-01T03:52:51,49.37804,-123.27057,6.6,11.2
1077000,316001251,2019-01-01T03:49:10,49.37646,-123.2709,0.0,69.7
1081404,316001251,2019-01-01T03:54:08,49.3823,-123.2702,15.8,354.2
1090911,316001251,2019-01-01T03:55:15,49.38745,-123.27223,18.1,341.3
1095765,316001251,2019-01-01T03:56:26,49.39301,-123.27519,17.0,340.5
1099995,316001251,2019-01-01T03:57:37,49.39814,-123.27808,16.2,340.4
